GEOID,latitude,longitude
270799505002,44.3956535,-93.74893332
271090017023,44.06884203,-92.48587141
271090021003,43.8627709,-92.47848591
271090022003,43.89138509,-92.37846294
271090001001,44.0233711,-92.46566061
270530215051,45.01903305,-93.38559035
270530215052,45.01559616,-93.39838191
270530215053,45.01068853,-93.39399327
271696703012,44.05174021,-91.67345541
271696703022,44.04908679,-91.68202401
271696701022,44.13158864,-91.86848825
271696703021,44.01895748,-91.69195389
271696701013,44.02405797,-91.72698534
271696708011,43.88097042,-91.40412979
271696710003,43.99542912,-92.01936657
271696701012,44.04070205,-91.7412806
271696708023,44.01517523,-91.62714615
271696701011,44.07666288,-91.77276573
271696708024,43.98072006,-91.62907684
271696708012,43.89118699,-91.62439307
271696708021,43.96487296,-91.53928844
271696708022,43.95701631,-91.43401667
271696701021,44.09490549,-91.98062381
271696703011,44.0571085,-91.68320423
271696710002,43.96842314,-92.05234451
271219702001,45.62824701,-95.54599885
271219701001,45.66939179,-95.32316102
271219701002,45.68605564,-95.20463098
271219704001,45.63745727,-95.42682452
271219703002,45.50256083,-95.61837155
271219701003,45.52082538,-95.23122579
271219703003,45.49678903,-95.39563213
271219702002,45.60266524,-95.54586933
271219703001,45.68061995,-95.67981795
271159503002,46.20486238,-92.85287467
271159504011,46.07479954,-92.49552894
271159504023,46.13113788,-92.86085399
271159504022,46.02729787,-92.75456718
271159508003,45.86497281,-93.01818034
271159508001,45.77681391,-93.07041372
270030506084,45.17617403,-93.31178143
270030502153,45.24442637,-93.25099832
270030502382,45.25581886,-93.29741836
270030502412,45.29282888,-93.41020997
270030502183,45.27327855,-93.39317962
270030502411,45.27457154,-93.42087828
270030502181,45.2721169,-93.35660986
270030502233,45.26143861,-93.49383568
270030502401,45.25622358,-93.41833821
270030501082,45.39967035,-93.29052882
270030502152,45.22286804,-93.24906611
270030506094,45.19217688,-93.34575351
270030502165,45.23781,-93.20191574
270030502283,45.23637218,-93.43913578
270030502302,45.18396737,-93.0393064
270030504023,45.20986167,-93.4157867
270030502293,45.19661564,-93.13236803
270030507045,45.17046849,-93.27917947
270030502362,45.13408058,-93.10072228
270030507064,45.14918975,-93.26924688
270030512022,45.08273788,-93.25406417
270030512034,45.08006909,-93.23621569
270030508281,45.12871482,-93.16913158
270030502323,45.17004916,-93.06372516
270030502292,45.17857874,-93.12541243
270030504013,45.21830962,-93.39530518
270030502232,45.24681336,-93.48233558
270030502284,45.24732475,-93.46035333
270030502274,45.23204957,-93.41090052
270030516003,45.37126774,-93.05573552
270799501023,44.45040855,-93.82086714
270799501022,44.48377451,-93.70291158
270799501021,44.49748949,-93.57650645
270799501011,44.53682633,-93.57398456
270799501012,44.53652434,-93.54323865
270030506122,45.1918326,-93.36610262
270030508203,45.19346613,-93.22617772
270030508242,45.19413275,-93.23960733
270030508262,45.16388184,-93.23844832
270030508184,45.20515397,-93.19929431
270030508201,45.18512912,-93.21391534
270030509023,45.14918881,-93.15471733
270190903023,44.8135365,-93.81793076
270190911006,44.76106843,-93.72586174
270190911004,44.76547503,-93.6645393
270190903043,44.85804262,-93.83854687
270190912014,44.76128622,-93.96436019
270190910014,44.79926965,-93.59616539
270190910025,44.79006651,-93.6275213
270190912015,44.78236601,-93.90097175
270190910011,44.78661196,-93.59073311
270190911005,44.77143993,-93.61868135
270190901023,44.96376405,-93.80052719
270190904025,44.86105724,-93.63813042
270190904023,44.8519265,-93.64327797
270190903041,44.85460298,-93.80834657
270190903032,44.84890384,-93.77778171
270190910021,44.78097853,-93.60561579
270190911003,44.69253065,-93.70961532
270190908015,44.82865904,-93.609377
270190904024,44.82824388,-93.64744926
270190908011,44.80826043,-93.60863921
270190908013,44.81656387,-93.61702292
270190905022,44.86839939,-93.58579384
270190908021,44.83264647,-93.63400927
270190907023,44.81624201,-93.54574245
270190907041,44.85606461,-93.52710787
270190904013,44.82123643,-93.71814347
270190906013,44.87119335,-93.52990444
270190907031,44.85012567,-93.54418618
270190908014,44.82390419,-93.6058531
270190911007,44.75794173,-93.63424083
270190910023,44.81842912,-93.6355758
270190909023,44.82246023,-93.59323613
270190903042,44.8367806,-93.8144616
270190903031,44.84861644,-93.79101155
270190909011,44.81233984,-93.59059098
270190909012,44.81302829,-93.57384483
270190910012,44.79641662,-93.58037917
270190907032,44.85578423,-93.58844349
270190909021,44.8480187,-93.5928594
270190904014,44.83994514,-93.66648141
270190908022,44.84450094,-93.61658615
270190910013,44.80046692,-93.58610095
270190912013,44.75297303,-93.90516367
270190902003,44.88557725,-93.89352671
270190905012,44.88014244,-93.59965912
270190901011,44.92002872,-93.8289521
270190902004,44.9155307,-93.98711031
270190903024,44.8289568,-93.79776848
270190901021,44.9646444,-93.86772283
270190901022,44.96729799,-93.84979709
270190909022,44.83335191,-93.58470812
271617904002,44.082924,-93.48133746
271617905002,44.08233802,-93.53084068
271617905001,44.05536512,-93.49542553
271617904003,44.09494041,-93.4972404
270190903022,44.82739782,-93.77812651
270190907033,44.85209564,-93.55686442
270190903033,44.84638238,-93.80043008
270190910022,44.79984961,-93.61317272
270190910024,44.81042792,-93.63329321
270190901013,44.95460358,-93.84597507
270190908012,44.82372954,-93.62239842
270190907042,44.84605261,-93.52985526
270190901012,44.95370004,-93.83137404
270190907022,44.83440604,-93.56289636
270471804002,43.66660678,-93.39060948
270471805001,43.6785934,-93.36894855
270471805003,43.66607881,-93.35342029
270471805002,43.65564874,-93.35553948
270471806001,43.65272361,-93.33608451
270471806002,43.64887914,-93.36095138
270471806003,43.63515919,-93.34832819
270471806004,43.62321684,-93.35305096
271617902003,43.89159059,-93.49669613
271617901001,44.1516426,-93.64458156
271617903003,44.0154255,-93.45233087
271617903004,44.15134582,-93.4703397
271617903001,44.06793056,-93.67252458
271617903002,43.9934061,-93.5761
271617902001,43.8880157,-93.58057611
271617904004,44.07989836,-93.50181771
271159504021,46.13062093,-92.86371199
271159503003,46.20555164,-92.96270013
270471808001,43.64542637,-93.39304845
270471809003,43.63796917,-93.37310322
270471809001,43.63838059,-93.3835807
270471809002,43.6404586,-93.38884714
270471810001,43.54716799,-93.26270011
270471809004,43.63731602,-93.36412584
270471808002,43.64773345,-93.3745732
271617901002,44.11163882,-93.70698476
271130905002,48.10145213,-96.15894055
271479602004,44.10492303,-93.18947626
271479603005,44.1034761,-93.20402078
271479602003,44.09552669,-93.17454228
271479603004,44.11604914,-93.20525653
271479607004,44.06988449,-93.20710224
271130904002,48.10804855,-96.20463867
271617902002,43.96969534,-93.70449309
271617904001,44.09312659,-93.51458064
270370609021,44.64587021,-93.18713132
270370609043,44.63611706,-93.15257178
